Mitjana 1,Variança 1,Desviacio 1,GradientMag 1,Mitjana 2,Variança 2,Desviacio 2,GradientMag 2,Mitjana 3,Variança 3,Desviacio 3,GradientMag 3,Mitjana 4,Variança 4,Desviacio 4,GradientMag 4,Mitjana 5,Variança 5,Desviacio 5,GradientMag 5,Mitjana 6,Variança 6,Desviacio 6,GradientMag 6,Mitjana 7,Variança 7,Desviacio 7,GradientMag 7,Mitjana 8,Variança 8,Desviacio 8,GradientMag 8,Mitjana 9,Variança 9,Desviacio 9,GradientMag 9,Mitjana 10,Variança 10,Desviacio 10,GradientMag 10,Mitjana 11,Variança 11,Desviacio 11,GradientMag 11,Mitjana 12,Variança 12,Desviacio 12,GradientMag 12,Deteccio
100.671875,450.432291666667,21.0636665143781,79270.6488828573,93.546875,659.771875,25.2029447969906,79270.6488828573,166.09375,451.151041666667,20.6430324792934,79270.6488828573,92.984375,1234.81666666667,34.9636916424168,79270.6488828573,70.6015625,1459.1484375,37.505405075721,79270.6488828573,150.171875,460.4125,21.3980147307204,79270.6488828573,113.53125,685.134375,25.5811761957146,79270.6488828573,102.9375,882.48125,29.23459610721,79270.6488828573,157.90625,343.755208333333,18.4884578567487,79270.6488828573,128.46875,42.4708333333333,5.5146486943474,79270.6488828573,134.1875,147.729166666667,11.7403658788325,79270.6488828573,170.34375,41.5520833333333,5.68499179749733,79270.6488828573,"Ulls"
137.0703125,559.203645833333,23.5542284787825,92474.6182605033,106.8046875,1180.9640625,31.8036406058254,92474.6182605033,134.7734375,239.999479166667,14.9866072888498,92474.6182605033,141.7578125,1595.5859375,39.6513807474568,92474.6182605033,75.734375,1143.9625,33.4495859876954,92474.6182605033,148.28125,379.417708333333,19.3782822775053,92474.6182605033,117.7890625,1148.70052083333,33.1242772296377,92474.6182605033,120.6796875,545.300520833333,22.4851714185063,92474.6182605033,151.390625,137.245833333333,10.9332006174101,92474.6182605033,147.9609375,279.402604166667,16.4776805087982,92474.6182605033,137.7578125,69.0296875,7.94456410016381,92474.6182605033,134.6171875,61.6921875,7.44376970735832,92474.6182605033,"Ulls"
52.8515625,584.0296875,22.3284309480199,111366.693157364,37.875,207.460416666667,14.1797715498001,111366.693157364,75.328125,405.567708333333,17.735481023022,111366.693157364,74.0234375,1267.04322916667,35.4299261485783,111366.693157364,50.2421875,1235.6171875,32.5957376558058,111366.693157364,87.328125,720.105208333333,26.6425526777696,111366.693157364,44.1484375,934.3859375,28.8870808664265,111366.693157364,81.375,1720.07708333333,40.1677927207579,111366.693157364,119.0234375,259.578645833333,15.8946408323719,111366.693157364,104.4921875,1025.29427083333,28.7233661243915,111366.693157364,97.8515625,105.147395833333,9.27366102615953,111366.693157364,99.40625,84.453125,8.26599645290433,111366.693157364,"Ulls"
95.9921875,469.141145833333,21.3093265876259,98692.0857878832,86.0546875,958.591145833333,28.9406258192422,98692.0857878832,142.6875,751.435416666667,27.1418362617904,98692.0857878832,115.90625,1344.14791666667,36.5759903513244,98692.0857878832,77.0703125,2896.57864583333,53.0396892339333,98692.0857878832,134.7109375,718.4953125,26.6826526842314,98692.0857878832,118.4921875,384.352604166667,18.7377005954251,98692.0857878832,96.984375,2458.12708333333,47.0638830712289,98692.0857878832,145.0234375,501.6828125,22.1726353881455,98692.0857878832,138.5625,141.765625,11.757782708004,98692.0857878832,130.453125,81.50625,7.83705842132262,98692.0857878832,161.9765625,85.6390625,9.07610311343656,98692.0857878832,"Ulls"
83.28125,287.066666666667,15.7180408615817,92887.2131075125,75.4921875,384.643229166667,19.3708332577322,92887.2131075125,104.46875,171.920833333333,12.9822788200881,92887.2131075125,94.15625,846.689583333333,29.0382778192518,92887.2131075125,72.296875,806.634375,28.2803318911563,92887.2131075125,112.0859375,127.466145833333,11.2351700335332,92887.2131075125,101,686.546875,26.1624365849865,92887.2131075125,131.5625,1705.52916666667,38.3847816478326,92887.2131075125,123.515625,57.425,7.45682730370665,92887.2131075125,138.0546875,287.881770833333,16.6613280555651,92887.2131075125,98.1171875,347.3484375,15.6488107305851,92887.2131075125,92.4921875,98.6921875,9.58029657082719,92887.2131075125,"Ulls"
57.9375,646.714583333333,24.4678543637384,98039.7697147841,62.1796875,286.890104166667,16.4417607671771,98039.7697147841,90.453125,168.265625,12.8783506066526,98039.7697147841,86.703125,1615.49791666667,40.0668131728374,98039.7697147841,60.90625,731.467708333333,26.1633148490293,98039.7697147841,106.5,138.341666666667,11.6111261573118,98039.7697147841,89.109375,468.3625,20.8880119907401,98039.7697147841,113.4609375,1670.88385416667,40.3466295482963,98039.7697147841,116.859375,220.602083333333,14.1837710030346,98039.7697147841,118.6796875,132.5609375,11.2297276258728,98039.7697147841,88.15625,640.161458333333,24.3827599648396,98039.7697147841,88.515625,203.271875,13.9753817814763,98039.7697147841,"Ulls"
80.171875,1093.82604166667,32.770690532858,109808.089859119,73.3671875,605.586979166667,23.4074817255756,109808.089859119,107.9140625,341.741145833333,18.2408428713472,109808.089859119,80.9921875,1442.84114583333,37.9459485763162,109808.089859119,76.21875,1616.625,39.7707355982539,109808.089859119,114.03125,203.613541666667,14.2116007222252,109808.089859119,86.8046875,968.3078125,30.7696014356235,109808.089859119,91.9375,1504.834375,37.6567726651871,109808.089859119,129.5390625,264.5296875,15.9655244719575,109808.089859119,146.3125,487.208333333333,21.5747924151976,109808.089859119,98.6484375,251.777604166667,15.3431272088735,109808.089859119,103.1015625,100.547395833333,9.58898915350787,109808.089859119,"Ulls"
118.1015625,665.321354166667,25.6104415495168,100766.856211069,111.359375,459.936458333333,20.685328856764,100766.856211069,187.09375,425.369791666667,19.0691801478412,100766.856211069,102.6796875,739.322395833333,27.0761472305359,100766.856211069,94.421875,1482.00833333333,38.1772817437952,100766.856211069,179.7421875,587.2921875,24.0933639178724,100766.856211069,81.203125,727.5375,26.9513553171962,100766.856211069,125.34375,1640.21770833333,39.7875991072887,100766.856211069,177.0859375,574.3328125,23.7589180847296,100766.856211069,104.1796875,632.680729166667,24.4747607781763,100766.856211069,118.0078125,767.2921875,26.9219146245773,100766.856211069,184.1640625,225.9640625,12.8647406993785,100766.856211069,"Ulls"
94.109375,450.010416666667,21.1399686125067,111307.60379261,73.71875,858.591666666667,27.3491704028336,111307.60379261,108.8125,274.933333333333,16.4919670326597,111307.60379261,115.6796875,954.9609375,30.7220806512884,111307.60379261,73.3046875,2552.29322916667,49.5880809753195,111307.60379261,121.84375,295.072916666667,16.6352392070456,111307.60379261,103.703125,540.121875,22.1097715760626,111307.60379261,99.8828125,1789.33697916667,39.991382068335,111307.60379261,116.0859375,266.253645833333,16.2741935881014,111307.60379261,117.21875,193.745833333333,13.5885751650812,111307.60379261,98.390625,210.444791666667,13.2475646194105,111307.60379261,108.5390625,145.283854166667,11.9702795388933,111307.60379261,"Ulls"
126.21875,446.54375,20.9099622125556,95470.7849023658,84.3359375,758.8578125,26.5195427836677,95470.7849023658,146.9140625,357.547395833333,18.7672805523871,95470.7849023658,118.7734375,1431.56302083333,37.5905161872538,95470.7849023658,77.03125,1343.39583333333,36.2428334372456,95470.7849023658,147.484375,382.736458333333,19.2637564103233,95470.7849023658,100.6796875,751.352604166667,25.8677671666358,95470.7849023658,114.6328125,1074.1109375,31.55820579504,95470.7849023658,151.9453125,149.5328125,12.0650814680226,95470.7849023658,145.53125,287.58125,16.5729534093595,95470.7849023658,118.34375,144.379166666667,10.8283533346463,95470.7849023658,136.5546875,31.3234375,5.35091265089539,95470.7849023658,"Ulls"
