Mitjana,Variança,Desviacio,GradientMag,Deteccio
123.453776041667,1402.13410073138,35.9229777609775,79270.6488828573,"Ulls"
129.551432291667,1096.74621841755,30.815331917173,92474.6182605033,"Ulls"
76.9954427083333,1259.85872395833,34.2404746772883,111366.693157364,"Ulls"
120.326171875,1334.58046597961,34.4251878943235,98692.0857878832,"Ulls"
102.210286458333,808.51835383422,27.2272965817425,92887.2131075125,"Ulls"
89.955078125,890.525085882092,29.3501771924725,98039.7697147841,"Ulls"
99.0865885416667,1146.26284075798,33.2377536893848,109808.089859119,"Ulls"
131.948567708333,2162.31675254876,46.1354769142686,100766.856211069,"Ulls"
102.607421875,960.368392619681,29.1680610911352,111307.60379261,"Ulls"
122.370442708333,1175.27677582004,32.620548954037,95470.7849023658,"Ulls"
133.868489583333,1302.07884530142,34.2632230299559,104952.673135791,"Ulls"
135.067708333333,1957.82668439716,43.3475000924751,89761.5977472793,"Ulls"
143.578776041667,1134.54209607713,31.153075335235,101043.649625288,"Ulls"
118.421223958333,1044.29381371897,30.6845067573912,68990.3893751035,"Ulls"
122.10546875,1390.49562278369,35.3621565001488,94606.3488925163,"Ulls"
174.607421875,2976.59794714096,50.1854118453878,117958.387353781,"Ulls"
114.337239583333,1052.70775155142,32.1440335770745,93053.1021036223,"Ulls"
113.84375,839.248891843972,27.2941225455631,86118.5657560776,"Ulls"
104.544270833333,1095.09546764184,31.8380932922846,100433.150015557,"Ulls"
124.077473958333,1497.75436336436,38.0721553102197,109180.847007228,"Ulls"
76.6920572916667,1616.54234541223,40.1130370113499,116907.175227891,"Ulls"
105.831380208333,1350.57595024379,35.5584043659072,102242.283947225,"Ulls"
21.4850260416667,484.295559064716,17.4379298949867,40673.5693172409,"Ulls"
79.7233072916667,1027.84537067819,31.1861580675378,70870.3913637233,"Ulls"
119.985677083333,1431.59097960993,35.1641968235179,84437.6119401444,"Ulls"
130.508463541667,1282.7246924867,35.3456443567328,117530.185146111,"Ulls"
76.49609375,1015.95401152482,29.3915756370894,94341.1356589712,"Ulls"
105.440755208333,1490.49693871897,37.2531631554904,98342.0428347909,"Ulls"
129.807291666667,1158.15176196809,33.1821068664272,92651.8091387739,"Ulls"
109.962890625,1273.12994514628,35.3669857309322,116347.055974756,"Ulls"
138.432942708333,1552.03885472074,37.9338265101424,92080.1229931147,"Ulls"
165.912760416667,1328.0429410461,35.1842679724428,93418.1775361195,"Ulls"
80.0130208333333,1690.42245678192,38.5834608771056,122831.906068516,"Ulls"
139.100911458333,1737.23269891401,40.4148972999374,104471.704082669,"Ulls"
95.392578125,1120.91294049202,32.3909458736745,117588.034154804,"Ulls"
143.768880208333,1916.6661818484,41.0738222089105,112881.565983574,"Ulls"
110.225260416667,1559.95883200355,39.103090098324,105983.222512175,"Ulls"
126.01953125,975.076573581561,29.7174026786408,90492.9826970025,"Ulls"
128.487630208333,1838.52608322252,40.9858781862772,118159.521860984,"Ulls"
126.768880208333,1333.25732768174,35.4096190089454,96878.3738988507,"Ulls"
138.389322916667,2050.84067486702,44.9265255480384,114301.138840015,"Ulls"
