Mitjana 1,Variança 1,Desviacio 1,GradientMag 1,Mitjana 2,Variança 2,Desviacio 2,GradientMag 2,Mitjana 3,Variança 3,Desviacio 3,GradientMag 3,Mitjana 4,Variança 4,Desviacio 4,GradientMag 4,Mitjana 5,Variança 5,Desviacio 5,GradientMag 5,Mitjana 6,Variança 6,Desviacio 6,GradientMag 6,Deteccio
96.828125,842.624479166667,28.0136790783974,79270.6488828573,82.07421875,1059.46015625,31.3541749363558,79270.6488828573,158.1328125,455.781770833333,21.0205236050069,79270.6488828573,121,363.802604166667,15.547912445031,79270.6488828573,118.5625,515.105208333333,20.4874809930213,79270.6488828573,164.125,192.653645833333,12.086724827123,79270.6488828573,"Ulls"
139.4140625,1077.39479166667,31.6028046131197,92474.6182605033,91.26953125,1162.46328125,32.6266132967604,92474.6182605033,141.52734375,309.70859375,17.1824447831776,92474.6182605033,132.875,714.0515625,24.8009788692179,92474.6182605033,129.21875,307.165104166667,15.214867759335,92474.6182605033,143.00390625,99.4690104166667,9.18848516238419,92474.6182605033,"Ulls"
63.4375,925.536458333333,28.8791785482991,111366.693157364,44.05859375,721.538802083333,23.387754602803,111366.693157364,81.328125,562.836458333333,22.1890168503958,111366.693157364,74.3203125,979.840104166667,28.805223495409,111366.693157364,89.61328125,912.612239583333,24.7207268734587,111366.693157364,109.21484375,172.015885416667,12.0803186426381,111366.693157364,"Ulls"
105.94921875,906.64453125,28.9426584694751,98692.0857878832,81.5625,1927.58489583333,40.9901575265878,98692.0857878832,138.69921875,734.965364583333,26.9122444730109,98692.0857878832,128.52734375,263.059114583333,15.2477416517145,98692.0857878832,113.71875,1269.81666666667,27.4504707462758,98692.0857878832,153.5,293.6609375,15.624369250791,98692.0857878832,"Ulls"
88.71875,566.878125,22.3781593404167,92887.2131075125,73.89453125,595.638802083333,23.8255825744442,92887.2131075125,108.27734375,149.693489583333,12.1087244268106,92887.2131075125,119.52734375,487.214322916667,21.4118823202758,92887.2131075125,114.83984375,1026.43880208333,27.0167961892089,92887.2131075125,108.00390625,78.05859375,8.51856193726692,92887.2131075125,"Ulls"
72.3203125,1131.10625,32.2673337682879,98039.7697147841,61.54296875,509.17890625,21.3025378081032,98039.7697147841,98.4765625,153.303645833333,12.2447383819822,98039.7697147841,103.89453125,300.46171875,16.0588698083065,98039.7697147841,100.80859375,1155.52265625,32.364694756568,98039.7697147841,102.6875,211.936979166667,14.0795763922555,98039.7697147841,"Ulls"
80.58203125,1268.33359375,35.3583195545871,109808.089859119,74.79296875,1111.10598958333,31.5891086619147,109808.089859119,110.97265625,272.67734375,16.2262217967862,109808.089859119,116.55859375,727.758072916667,26.1721969254106,109808.089859119,95.29296875,878.305989583333,26.4999499370303,109808.089859119,116.3203125,182.538541666667,12.7772568127327,109808.089859119,"Ulls"
110.390625,702.321875,26.3432943900264,100766.856211069,102.890625,970.972395833333,29.4313053002796,100766.856211069,183.41796875,506.330989583333,21.5812720328568,100766.856211069,92.69140625,680.109114583333,25.7130580476862,100766.856211069,121.67578125,1203.75494791667,33.354756865933,100766.856211069,180.625,400.1484375,18.3118293920541,100766.856211069,"Ulls"
104.89453125,702.485677083333,25.9310246318975,111307.60379261,73.51171875,1705.44244791667,38.4686256890766,111307.60379261,115.328125,285.003125,16.5636031198526,111307.60379261,110.4609375,366.933854166667,17.8491733705719,111307.60379261,99.13671875,999.890885416667,26.6194733438728,111307.60379261,112.3125,205.76875,14.1222365634974,111307.60379261,"Ulls"
122.49609375,939.053385416667,29.2502391999047,95470.7849023658,80.68359375,1051.12682291667,31.3811881104567,95470.7849023658,147.19921875,370.141927083333,19.0155184813552,95470.7849023658,123.10546875,519.466927083333,21.2203602879977,95470.7849023658,116.48828125,609.245052083333,21.1932795648431,95470.7849023658,144.25,90.428125,8.707997059459,95470.7849023658,"Ulls"
122.94140625,1644.50911458333,39.7455102907065,104952.673135791,101.93359375,2155.01953125,45.2028999707112,104952.673135791,154.015625,191.393229166667,13.6742553600091,104952.673135791,140.671875,1282.69739583333,33.2580952169153,104952.673135791,135.5078125,519.653645833333,20.7140765088618,104952.673135791,148.140625,94.7307291666666,9.46221085426449,104952.673135791,"Ulls"
140.875,1534.58854166667,37.8910029111927,89761.5977472793,86.52734375,1194.70651041667,34.1480966787032,89761.5977472793,167.82421875,412.553385416667,19.8466339256223,89761.5977472793,155.8515625,1529.66145833333,35.7795263725658,89761.5977472793,96.16796875,388.054947916667,17.0585571096469,89761.5977472793,163.16015625,382.779947916667,19.0308910166264,89761.5977472793,"Ulls"
173.43359375,432.497135416667,20.2914315949595,101043.649625288,103.81640625,1156.49453125,31.9234650888437,101043.649625288,159.6328125,287.382291666667,16.522578831431,101043.649625288,135.6171875,430.929166666667,20.4271881242801,101043.649625288,140.0390625,840.109375,24.9463009770292,101043.649625288,148.93359375,241.529947916667,14.65221124729,101043.649625288,"Ulls"
137.32421875,119.202864583333,10.1658193776845,68990.3893751035,73.0703125,731.216666666667,26.710463930813,68990.3893751035,140.01171875,507.57421875,21.9151482421401,68990.3893751035,122.421875,120.247916666667,10.3695182984512,68990.3893751035,95.546875,256.701041666667,14.5743543389116,68990.3893751035,142.15234375,175.108072916667,12.502268406023,68990.3893751035,"Ulls"
