Mitjana 1,Variança 1,Desviacio 1,GradientMag 1,Mitjana 2,Variança 2,Desviacio 2,GradientMag 2,Mitjana 3,Variança 3,Desviacio 3,GradientMag 3,Deteccio
108.9140625,603.213541666666,21.7807957617142,79270.6488828573,100.318359375,787.282682291667,25.9208279646885,79270.6488828573,161.12890625,324.217708333333,16.553624216065,79270.6488828573,"Ulls"
136.14453125,895.723177083333,28.2018917411688,92474.6182605033,110.244140625,734.814192708333,23.9207405280477,92474.6182605033,142.265625,204.588802083333,13.1854649727809,92474.6182605033,"Ulls"
68.87890625,952.68828125,28.842201021854,111366.693157364,66.8359375,817.075520833334,24.0542407381309,111366.693157364,95.271484375,367.426171875,17.1346677465169,111366.693157364,"Ulls"
117.23828125,584.851822916667,22.0952000605948,98692.0857878832,97.640625,1598.70078125,34.2203141364318,98692.0857878832,146.099609375,514.313151041667,21.2683068619009,98692.0857878832,"Ulls"
104.123046875,527.046223958333,21.8950208303463,92887.2131075125,94.3671875,811.038802083333,25.4211893818265,92887.2131075125,108.140625,113.876041666667,10.3136431820388,92887.2131075125,"Ulls"
88.107421875,715.783984375,24.1631017882972,98039.7697147841,81.17578125,832.35078125,26.8336162823356,98039.7697147841,100.58203125,182.6203125,13.1621573871188,98039.7697147841,"Ulls"
98.5703125,998.045833333333,30.7652582399988,109808.089859119,85.04296875,994.705989583333,29.0445292994725,109808.089859119,113.646484375,227.607942708333,14.5017393047594,109808.089859119,"Ulls"
101.541015625,691.215494791667,26.0281762188563,100766.856211069,112.283203125,1087.363671875,31.3930310831063,100766.856211069,182.021484375,453.239713541667,19.9465507124554,100766.856211069,"Ulls"
107.677734375,534.709765625,21.8900990012347,111307.60379261,86.32421875,1352.66666666667,32.5440495164747,111307.60379261,113.8203125,245.3859375,15.342919841675,111307.60379261,"Ulls"
122.80078125,729.26015625,25.2352997439512,95470.7849023658,98.5859375,830.1859375,26.2872338376499,95470.7849023658,145.724609375,230.285026041667,13.8617577704071,95470.7849023658,"Ulls"
131.806640625,1463.60325520833,36.5018027538109,104952.673135791,118.720703125,1337.33658854167,32.9584882397865,104952.673135791,151.078125,143.061979166667,11.5682331071368,104952.673135791,"Ulls"
148.36328125,1532.125,36.8352646418793,89761.5977472793,91.34765625,791.380729166667,25.6033268941751,89761.5977472793,165.4921875,397.666666666667,19.4387624711244,89761.5977472793,"Ulls"
154.525390625,431.713151041667,20.3593098596198,101043.649625288,121.927734375,998.301953125,28.4348830329365,101043.649625288,154.283203125,264.456119791667,15.5873950393605,101043.649625288,"Ulls"
129.873046875,119.725390625,10.2676688380679,68990.3893751035,84.30859375,493.958854166667,20.6424091348623,68990.3893751035,141.08203125,341.341145833333,17.2087083240816,68990.3893751035,"Ulls"
103.15234375,1051.39010416667,29.503147460184,94606.3488925163,111.203125,973.6578125,27.1291193702336,94606.3488925163,151.9609375,180.556770833333,12.4969598982187,94606.3488925163,"Ulls"
209.29296875,240.3296875,14.3168301184244,117958.387353781,132.845703125,2675.40221354167,48.685924153322,117958.387353781,181.68359375,1733.21796875,37.8075103553953,117958.387353781,"Ulls"
115.8984375,861.694010416667,28.6260678734378,93053.1021036223,90.263671875,838.251171875,26.7549320730626,93053.1021036223,136.849609375,367.988932291667,18.3968342467999,93053.1021036223,"Ulls"
105.3828125,615.26953125,22.8716625369135,86118.5657560776,100.205078125,769.939192708333,24.852524603154,86118.5657560776,135.943359375,239.702734375,15.0728402382654,86118.5657560776,"Ulls"
104.505859375,576.106640625,20.5152574069718,100433.150015557,79.125,599.445052083333,21.5600144965464,100433.150015557,130.001953125,301.797265625,14.5812809305985,100433.150015557,"Ulls"
120.837890625,1213.058984375,32.9818283508743,109180.847007228,107.6875,1155.82838541667,30.6188826131135,109180.847007228,143.70703125,192.975260416667,12.1206812147657,109180.847007228,"Ulls"
75.095703125,1104.935546875,32.4422684011594,116907.175227891,49.755859375,297.236328125,16.0144104823038,116907.175227891,105.224609375,1696.04830729167,40.4133792319457,116907.175227891,"Ulls"
108.015625,990.644270833333,30.6578997696822,102242.283947225,79.169921875,759.877473958333,25.0399168622712,102242.283947225,130.30859375,393.55546875,17.8415433258117,102242.283947225,"Ulls"
29.57421875,643.665885416667,22.2037732408687,40673.5693172409,13.595703125,20.711328125,2.41894501888177,40673.5693172409,21.28515625,500.646614583333,10.4756341655166,40673.5693172409,"Ulls"
97.197265625,461.363411458333,19.2121956485972,70870.3913637233,54.6953125,273.44140625,14.8393281656576,70870.3913637233,87.27734375,433.516145833333,17.6054615727348,70870.3913637233,"Ulls"
122.41015625,356.009895833333,17.7910892340029,84437.6119401444,85.27734375,562.990885416667,20.5426909824481,84437.6119401444,152.26953125,491.78515625,18.2945192829571,84437.6119401444,"Ulls"
142.333984375,1006.440234375,29.629211556977,117530.185146111,106.59375,997.470572916667,29.7897659122219,117530.185146111,142.59765625,662.161979166667,24.7826051038449,117530.185146111,"Ulls"
73.310546875,642.176692708333,22.5759042677841,94341.1356589712,54.234375,390.8875,15.8875166448529,94341.1356589712,101.943359375,572.612369791667,21.9471093475054,94341.1356589712,"Ulls"
105.1484375,1241.86119791667,33.3201007172568,98342.0428347909,78.064453125,822.692578125,26.1323236010046,98342.0428347909,133.109375,444.623958333333,20.7966807515639,98342.0428347909,"Ulls"
129.576171875,927.208984375,28.189602318924,92651.8091387739,108.626953125,878.163671875,27.6496861674763,92651.8091387739,151.21875,161.448177083333,11.2654116747792,92651.8091387739,"Ulls"
